Timestamp,Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,Think about a time when you felt particularly connected to the community or proud to live in Grinnell. Tell us.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?",What aspects of the Grinnell community (positive or negative) do people NOT talk about?,Are there questions we’re not asking that you think we should? Is there anything that you would like to share that you have not?,,Do you live in the city of Grinnell?,"If you are a student, please tell us where"
1/17/23 19:24,276,The environment,The roads,Anytime there’s a thing in Central Park,,Education and services,Real estate,,Nothing.,Restaurants,Money,"Rebuilding schools, small businesses and more jobs",Better schooling,Annika Ford,Uplifting others,No,,,
1/17/23 19:25,277,"The college campus, the caring community, and the event held by grinnell.","The people, the schools, and the vastly spread opportunities.",Jingle bell holiday and the alumni festival.,,"Care for your neighbor, everyone is equal, and have time to care for yourself.",Family and friends. The comfortable environment Grinnell has offered me.,,"College, bigger opportunities, and family.",Political controversy.,"MORE EVENTS TO ATTEND. For example, summer fest.",More modern downtown and have more events.,"While i’ll be off at college next year in Iowa City, something that will create me to come back is events to enjoy with others.",Annika Ford,"The talk of people, it’s a smaller towns so things get around easy.",I think this survey outline is good!,,,
1/17/23 19:36,278,"Size of the town, family and friends nearby","Parks, bike trails, access to evening hangouts (restaurants, bars, theater), access to GC events","Any time during community theatrical productions, and particularly the large musicals.",,Not really,Family and friends ,,"Too far from larger areas (and access to the amenities in those areas); home values/cost compared to areas near DSM or Iowa City (including repair replacement costs for things like HVAC, electrical).",Attitudes and divisions among extreme ends (very far left association with GC; very far right association with many other members of town). Seems to be few discussions on common ground. The school bond failures have been the greatest frustration. ,"A decent HyVee - ours is old, run down, and lacks items found in Newton/Marshalltown","Improved/upgraded HyVee;  more restaurant options, new schools.",,Annika Ford,"The college’s impact on the community. I personally see the benefits it brings, but also don’t support what they are doing to the historic downtown area either. They just do what they want and have the money to be able to do it - seems to breed resentment among many. 

The lack of adequate recreational facilities, especially for youth programs. Everyone seems to be looking for space and not able to find them. ","The issue with the quality of the school facilities is a major problem. It hurts our ability to be proud of those buildings and the programs within them. It hurts our ability to recruit families to move to Grinnell, and it hurts our ability to recruit teachers. ",,,
1/17/23 20:02,279,"Size, Grinnell College, Unity Point Grinnell GRMC, Arts, restaurants, central location in Iowa ","Grinnell College, church, schools, family, medical services, arts","Community events like theatre, music, library",,"Churches, social concerns","Not moving, love Grinnell for all of the above reasons",,None,Treatment of others e.g. minorities. Lack of respect for other peoples' views,"Restaurants that stay open later, more retail downtown, ","Fix the golf course pool, replace school buildings, help fund the Arts, MENTAL HEALTH",Not applicable,Annika Ford,None,None,,,
1/17/23 20:19,280,"Diversity, good schools, the college","The school, parks, my job",When our kids were in school and we were very involved.  Things like the 4th of July activities in the community.,,It's somewhat faith based. Lots of caring organizations.,"Too much effort to move, set in our ways.",,The poor street conditions and so many barking dogs.,Changing ownership of our hospital to Unity Point.,?,Buy our hospital back.,,Jane McFee,?,We desperately need to recruit more industries and business in order for our town to thrive.,,,
1/17/23 20:29,281,It's a small town with low crime rate,Same as above,"When our kids were in school we felt very connected, but they have grown and have left the community over 30 years ago.",,"I don't know, I have no idea if we have a mission statement or not.",No,,Not really,"The partisanship is extreme here. At Mayflower there are 3 types of people, very religious, college connected or business people.  Infrastructure is poor throughout the city. I would also love to see how much the school system spent on consultations, architects,,etc over the past 10 years and we have nothing to show for it!!",We need major employers coming to Grinnell.,"If my funds were unlimited I would get out of town.  Also, wish there were more than just trucks at the car dealerships.",N/A,Jane McFee,Politics-you have to be VERY careful who you talk to around here. ,Would like the city to be more transparent on how we spend our money.. What's the cities budget etc..,,,
1/17/23 20:32,282,Low crime rate and good neighbors and I like the size of Grinnell.,Getting to know a lot of people.,When our kids were in school it was easy to feel connected.,,?,no,,No,Politics,More retail stores.,More stores.,N/A,Jane McFee,Politics and religion,Can't think of any.,,,
1/18/23 7:42,283,"Small town with a lot to offer, movie theater, great sports complex for a town this size","Access to the things I need (groceries, restaurants, shopping)",The 4th of July fireworks,,Not sure,N/A,,"Iowa weather, loss of restaurants",The price of gas is always more expensive than anywhere else.,More bike trails,Train service to the Des Moines airport,N/A,Allison Haack,There are levels of society. Farming/Manufacturing/Business/Healthcare/Education and they form their own cliques. It feels like they co-exist without actually interacting with one another. Not sure if other towns similar to Grinnell have done anything to help those groups engage with one another or if it's even necessary. Just an observation.,,,,
1/18/23 10:16,284,,,,,,,,The people can be rude.,,A sidewalk on prince street.,,,Grinnell Highschool,,,,,
1/18/23 10:26,285,It is a safe place only an hour away from Iowa City and Des Moines ,Local businesses that improve the town.,I am proud to live here because it's not Newton.,,They really care about the college ,"Broke, not old enough",,"People, everything and anything ","Healthcare nothing to do, expensive to live here","Target, everything ",Better everything ,Everything ,We all have lived in Grinnell for a long time. ,Everything ,Everything ,,,
1/18/23 10:27,286,"Family who are local. 
We have nice parks.","It is safe.
We like most of the people.","The community support around sports.
When everyone came together after the Derecho.",,The community welcomes you with open arms.,"
Family and jobs keep us here.",,Lack of entertainment and cost of housing.,"The timing of the stoplights.
The lack of restaurant variety.
The lack of snow removal in town.",Lack of entertainment and restaurants,Clean lake for swimming. A YMCA. Better roads.,More downtown space and more job opportunities. ,High school students. The administration requested we fill this out.,The amount of drug use and drug dealers. The political divisiveness.,No,,,
1/18/23 10:28,287,"Christmas decorations, music in the park",Nice people,"Grinnell games, music in the park",,Preserving history,Family,,"Poor school curriculum and administration, wanted better stores and better places to eat",Not having a lot of chain restaurants and stores,More diverse jobs,"Better schools, revamp/update curriculum, fix roads and sidewalks",N/A,"Grinnell High School, group of high school seniors","Need to recognize all students, there are a lot of good resources for low-income people, need way more mental health resources (but that is state wide)",Why are our gas prices so much higher than neighboring towns?,,,
1/18/23 10:33,288,I like the community and all of the people in it. It is a good size for living and I know almost everyone. There is little to no crime and I feel like I am living in a fairly safe area. ,I think the greatest impact is there is always something going on in Grinnell weather it be an event or activity in which I can choose to go and have a good time. ,"When the storm hit a few weeks ago, I think I felt the most connect because my teammates and I worked hard to clean up town and volunteer our time together along with many other local residents of Grinnell. ",,"I believe Grinnell has always been good at taking care of each other and most of the people in Grinnell have a friendship with me and my family. I think caring for others, kindness, and hard work have all been values of Grinnell ","I have never considered moving but if I considered staying, it would be to stay close to my family and friends, there are great education programs, and there are many sports activities nearby. ",,"I believe there is less to do around these areas that I would like to partake it. There are not as many places to shop so I have to drive a distance to get to where I need to go. There are also not many places to eat. As much as I love some of our sit down restaurants, they are always busy and there are not many other options. There are also not athletic teams so I drive out of my way in order to play on a travel team. ","There are not many places to eat, not many athletic facilities, not many shopping stores, among many other things. ",More dine in restaurants and maybe even more popular fast food places. More facilities for athletics. ,"More restaurants, coffee places, more facilities for athletics, more shopping places. ","More accessibility for kids such as sports, dine in and fast food options, more stores. ","Yes, Ani Ford ","We have a good education program, we have a college town.",More opportunities for economic equality. More opportunities for cheaper activities. ,,,
1/18/23 10:35,289,"Low Crime Rate, College opportunity, accessibility, downtown","School, economy, activity opportunities (school) ","Post derecho clean up, Jingle Bell Holiday, Music in the Park events, Parades, Fireworks ",,"Religion, Education","People, Family",,"Job opportunity, other family, housing costs, Racism","Winter / weather, lack of opportunities, political polarization","Teenage hangout space, new restaurants, Grinnell Rec Center","Recreation center (think YMCA, see what Pella is building), roads need fixed - poor condition, manufacturing, small business assistance ",,Grinnell High School,"Racism, Polarization of community",,,,
1/18/23 10:41,290,It has a small town feel to it. It's friendly.,Being able to walk and bike anywhere - assessibility of buildings,"Friday Fest, sports - both college and high school, holidays (4th of July, Jingle Bell Holiday, etc), homecoming",,Yes. We've always been big on helping each other.,"Family, people, small town feel",,"Moving to where there are more stores, more restaurants, different cuisine, and more activities. Gas prices. Cost of housing.",Failure to pass bonds and update schools. The golf course pool being closed. Covid knocking out community musicals.,See previous answers,"New schools, hang out spots for teens, more accessible sports facilities, more thrift stores, more shopping opportunites, more diverse restaurants",lower cost housing,Senior Seminar at GHS - recruited by Kevin Seney & Annika Ford,"Good education program, being a college town",Income based pricing for family activities like the pool  - add activities for the winter - weekly (Saturday or Sunday) hot meals for families/community ,,,
1/18/23 10:50,291,"variety of job opportunities for teens, safe (low crime), influence of Grinnell College (added diversity)","nice people, amenities (grocery stores, gas stations, stores), public parks, sidewalks, community spaces (ampitheater, library, grinnell arts council spaces)",people meeting others' needs in times of crisis (ex. derecho),,No.,"too costly to move, desire to have kids finish school here, jobs are here",,"Desire to be closer to jobs outside of Grinnell (commute), cost of living lower elsewhere, lack of racial/ethnic diversity in Grinnell","lack of diversity and understanding of diversity, lack of entertainment venues, pedestrians that don't look when they cross the pedestrians ",entertainment / hangouts; chain stores like Target,Get the Veterans Building issue resolved,,High School Seniors,,"How welcome do people feel in our community, and how does the length of time a person has resided in our community affect how they answer the first question?",,,
1/18/23 11:38,292,"Good community, easy commute, quiet, small town, small coffee shops, you can get to know people, good art programs and nature trails","stress, opportunities to work, college, community views (racism, discrimination), living situtions (poor or displaced), small town, education/college","parades, community service, sporting events, working and talking to people, homecoming, fireman's breakfast, paper, theater",,"Religion, hard working, small town, community service (helping your neighbor), being respectful, midwestern hospitality","college, wanted to live in the country, money and job",,"housing cost, limited job (full time with benefits) opportunities, lack of diversity and discrimination, better housing, people, work","lack of food stores (restaurants like fast food options, no place for the younger population to go to and hang out or socialize, high average age of population (no young people), low funding for programs, lack of activities and things to do","activities and diverse activities, more jobs, paid living, places for young people to go to and hangout, fast food places and shopping (other than walmart)","better and more options for stores, shopping and food, roads, schools, more options of things to do, better housing, cheaper gas, roller rink, Target, recycling program.","paid living options, better job options, stores and restaruants.","High School Students, the high school requested teachers to survey us.","racism, homeless population, low income areas, lack of support for struggling families, drug use, lack of diversity","We need more community events to promote Grinnell, bring in concerts, have a venue for big events like concerts, etc.  Have a community center where kids can hang out.",,,
1/18/23 17:16,293,"Community scale, presence of college and hospital, Grinnell Area Arts Council, Ahrens Center",Grinnell College,Attending high School and GAAC theatrical events,,"Acceptance and welcoming of others, though those values are eroding under our current state leadership",This is my community ,,Jobs,The reduced choices any small town has ,A more widespread support for public education ,"Support for public schools, ",…,Farm to table ,The uneven support for diversity,,,,
1/18/23 19:08,294,The diversity of activities in the area.  The general welcoming atmosphere of the community. ,Local businesses have almost all products I need.,The support the community brings to the farmers market ,,Being as diverse and welcoming as possible ,Na,,No,Political division ,"No spray golf course and city parks
","Roads and biking lanes.  Free lunch for all students.  Local, fresh food in schools.",Na,A flyer in my GFTT delivery ,Working poor struggles ,Na,,,
1/19/23 17:13,295,The size feels really good to me. People are mostly friendly. Local merchants are a big plus and wish there were more. A good number of natural areas are nearby. Good city facilities. Great library and arts center.The Herald-Register. The historical museum. Lots of things.,Natural areas nearby. Library. Art Center.,New Year's Eve 2000. Concerts at the art center. 4th of July parade.,,"The people I know do, but I don't know about the general population.",Have not considered it.,,No,"Recently (last year or so) not enough restaurants that serve interesting food and try to source ingredients locally.

All of the chemicals used in agriculture make me feel unsafe.

In general, not many frustrations.",A certain kind of restaurant (see above). A good used book store.,Become a fossil fuel free community.,"I do live here, though not within the city limits.",No. I work at the college and serve on a couple of local boards.,Diversity. ,No. Good survey.,,,
1/19/23 17:37,296,"Short commute times, supportive/tight community, curious about others, one good option for almost everything, easy lifestyle, friends everywhere",Having the ability to support local businesses that add value to my life and that are run by people I know and trust. Also walkability. ,"No matter how long I'm away (even years), I always feel welcome when I come back. ",,"Community first. People first. Comradery first. There might be multiple cultures within Grinnell, but even people with very different lived experiences or perspectives can still coexist amicably and respectfully because you have to. It's too small not to. ","Community, people, ease of life, comfort",,"Lack of racial diversity, lack of religious diversity, lack of anonymity, feeling of geographic isolation.",The town and gown dynamic.,More international flavors (literally and figuratively) ,"Fancier shopping/retail, more/better restaurants, places open later, ","More jobs for educated people outside of higher education, higher quality public education (especially HS)",Ani Ford,"Issues around racial belonging, the history of the indigenous community",,,,
1/20/23 13:04,297,"The community of its people and events that promote community,  the smaller  size though near to cities,  the college and its events open to the public for free, variety of retail for its size,, great church that I attend, safe neighborhood,  great living choices for aging population, personal medical care....I could go on and on as I LOVE Grinnell.",Being known and even connected to the people I encounter everywhere.,I feel that way all the time,,"I think Grinnell places value on people and building community.  When people feel a part (connected),  they feel cared for and thus they look out for one another. ",Have never considered it!,,No,"Finer eating options as of late, clothing store options as of late. Grinnell has had a variety of options in the past.and I do understand retail is very difficult right now.","A new owner for the Depot, a fabric/yarn shop",,,Britta Meints,,,,,
1/20/23 13:21,298,Fairly bikeable,Friends,,,,Jobs and schools,,,,Target,,More jobs,Britta Meints,,,,,
1/20/23 15:10,299,I'm from Grinnell originally. ,My job,When I was in Partners in Education with my company,,No,We live on a family farm outside of town. Otherwise both of our kids have left town for communities with better housing options and schools,,Price of living. You can drive to Newton and get almost everything cheaper than in Grinnell,"Nothing for my teenager to do. The issues with other Grinnell parents. Seems like something is always brewing in Grinnell in terms of political issues or awareness issues. I would like to see things just calm down and allow us to do fun things without everyone's ""views"" being pushed down throats","Things for our kids to do in person so they are off the phones and have to learn to be nice to each other, interact with each other and get out of the house. Kids don't even want to go to work anymore as they don't know how to deal with people","More social events, more stores more entertainment",I'm not sure at this point. I'm disappointed in Grinnell. Its not the town I grew up in anymore,Grinnell Schools,The segregation between classes in this town. Race is always out front. But we don't even consider the classes and what happens with them anymore.,No. I just hope Grinnell can DO BETTER going forward.,,,
1/20/23 16:46,300,Family is close ,family and friends,Playing with Grinnell Volleyball Club,,No,Volleyball and Family,,Small town and everyone is connected somehow,"Not enough restaurants, bad roads, not great building structure ","restaurants, more places for people to hangout (not a bar)","more pools, better building structure, a lot of popular restaurants",n/a,Annika Ford,the waitresses at restaurants are nice ,No,,,
1/20/23 16:49,301,The people and the culture,The class size and community involvement in everything,Representing Grinnell through my endeavors ,,Responsibility and kindness,,,No,Certain community members,More things to do ,Build a town square around Central Park ,,Annika Ford,,,,,
1/20/23 16:49,302,Small town,More closer people,The events get during certain time of the season,,Community ,The community ,,Not enough entertainment/shopping stores,Not many restaurants ,Indoor town gym,Improve everything,Reduce gas price/ housing,Annika  Ford,How much money the Grinnell college makes,View previous questions,,,
1/20/23 16:53,303,The fact that everyone knows everyone. ,The exposure to different thinking. There’s people across all spans of life living in grinnell and it’s very fascinating to witness all these people trading ideas together and laughing.,Any event down town when everyone is out listening to music and having a good time.,,"Yes, I value connection more than I would have if I lived some place else.",The fact that I know everyone and have many friends. ,,"Lack of diversity, if you look in the town there’s mostly white people, it’d be nice to live in a place with diversity. ",There are many people to who complain about the college. I think the college-town relationship needs to be encouraged both ways. My brother goes to the college and says many of the student do not bother to leave campus and explore the town or communicate with the community members. I think encouraging student and community members to speak with each other could be very beneficial. ,"I’m not sure, I think there are many opportunities in grinnell. ","Restore the houses in the neighborhoods that need it. No charge to those living there, just fixing their home to look better. ",,Annika Ford,,,,,
1/20/23 16:53,304,The community,People are kind and the community ,The different festival and togetherness the community have for different events.,,The history of grinnell,It small town so people know each but no everyone. The community is really good.,,Although Grinnell try to accept everyone there are things that they don’t. Some people don’t have good reaction to new things.,Stores,Grinnell don’t have a lot variety of  restaurants and stores. ,Improve schools and add more fun activities stores and restaurants ,Gas prices and housing ,"Yes, Annika Ford",People judges other people a lot and they also assume thing based on how you look.,Nope ,,,
1/20/23 17:01,305,"A lot of my family live here, there’s some good restaurants and places to shop here too",My friends and family ,Whenever I’m downtown I feel very connected. Specifically if I’m ever by Central Park when there’s an event going on there or something like that.,,I think that there are core values. There are also many people who don’t think or care about core values that affect the community. ,"The only thing that would make me move away from Grinnell is the weather, but other than that nothing would make me want to move other than more opportunities.",,"Other opportunities, weather, and sometimes the people that live here. ",Certain people make it frustrating to live here sometimes. Seeing people commit hate crimes and generally being bad people sucks to see.,"Maybe some more restaurants, like a chik-fil-a or a Starbucks.","Probably improve some of the existing places like the golf course and some of the downtown areas, and building more areas for people to enjoy. More money into k-12 schools would be a good idea too.",,Annika Ford,I believe that there is an issue with people being hateful towards others for no reason. This obviously hurts the community but also I think that this probably happens everywhere. ,,,,
1/20/23 17:12,306,The community ,The people,During sports,,Open arms,The people,,No,Not really,Soccer fields,Soccer fields,Soccer fields,Annika Ford,A little boring,No,,,
1/20/23 17:17,307,Friendships I’ve built. I was given the opportunity for a quality education.,Friendships ,Playing football in front of a packed crowd at T.T. Cranny,,"Yes, I believe that character is crucial here",Parents still live here.,,Going to college to further my education.,I’ve lived here for 20 years and I just wanted to see more than this.,Local Attractions.,A better High School and more places for teens and high schoolers to hang out.,"A better school for my future kids to go to, along with more local attractions.",Annika Ford,College has a lot of control over the town.,No,,,
1/21/23 10:49,308,"Small town, anyone can participate in extra curriculars.",The community.,When I was on the homecoming court and was in the parade.,,Inclusion,,,College ,No diversity ,More diversity ,More funding to school,,My name is Tamer Bush and I am a senior at Grinnell High School. I was recruited by Annika Ford,Diversity ,,,,
1/21/23 14:58,309,I successfully escaped to just outside city limits a few years ago.,Moving just outside city limits. ,I have been in the area for more than a decade. I have never felt connected to the community or proud to live in Grinnell. ,,Grinnell's core values seem to be doing whatever the insane woke communists associated with Grinnell College want.,I did move away. I escaped outside city limits. ,,"When we made an offer on a house inside Grinnell that had been foreclosed upon, we received a ""nasty gram"" from the city, DEMANDING to know what we intended to do with the house. We got the aggressively-worded nasty gram BEFORE we actually closed on the house. I have never felt less welcome in any other community, and this is my 4th different state to live in.","When I first arrived, sanctimonious signs in the library parking lot for low-emissions vehicles only. Ridiculous trash and recycling policies. I hated having to buy the holy yellow trash bags. Even though we paid for BOTH trash and recycling, we had to pay extra fees for items like old washers and dryers to be picked up. Ridiculous sidewalk snow policing. We were almost ticketed once because the sidewalk snow police got our address confused with the neighbor's house. Potholes in the streets. The ever-increasing insane leftward tilt of everything associated with Grinnell College. We made several improvements on the house we bought, and the required ""city inspections"" for them all were 100% worthless and obviously nothing more than a way for the city to collect more fees. Getting ""permission"" to re-install the backyard fence the city had taken down several years previously to allow equipment to cut down trees damaged in an ice storm. Not erect a new fence, but merely reinstall the fence the CITY had taken down and left piled in the back yard. Every single official interaction I had with ""the city"" was annoying and bureaucratic and obviously intended only to gather up fees for the city.  I received the message from ""the city"" every single time that I was at best, a source of fee dollars for the city, and at worst, I was an annoyance the city put up with in order to collect fee dollars from me. ","A focus on the people who actually live in Grinnell, and not just the huge piles of money that Warren Buffett mistakenly gave to the Red Guard brigade at Grinnell College. ",There is no amount of money that would improve Grinnell without Grinnell deciding to first improve itself. ,I cannot imagine any changes that would entice me to move back into city limits. ,Got link from public school email. ,"I have avoided the Grinnell ""community"" as much as possible, even when I lived inside city limits for several years. To be honest, I don't know what people say about Grinnell, much less what they don't say. ","Grinnell has to make a choice (although I believe the choice has already been made.) Does Grinnell want to be an actual town with a thriving business climate? Or does Grinnell merely want to be the rental property for Grinnell College?  Can't say no to those sweet, sweet endowment dollars, right? ",,,
1/21/23 22:05,310,"I moved here because my son moved here and when I came to visit, I fell in love with the small town.  I love it here because it is a lovely small town, quiet, no traffic and a very low crime rate.  I love being surrounded by corn and bean fields and enjoy watching the farm seasons.  I love our little small town paper, The Harold Register.  ","I love the low crime rate, the seasons of the farms around the town, the nearness of a decent hospital.  Being able to go to Rock Creek State Park is a real plus for our family.  Activities at the college are always a draw for us, the pool, the music concerts, and meeting students and professors around town add to the quality of life.  The college Art Museum is a definite plus.  We have a superior library for a small town.  "," I was very pleased with some of my fellow members of the community when the people voted down the idea of having an elementary school on top of a toxic waste dump, that would have put those arriving at the school forced to turn on a very dangerous location on the highway.  Over all we voted down something that never should have been suggested.  
A positive time was when the college was able to have Summerfest.  When the local quilt guild is able to have shows in  the college museum.  
When we built the new library and the aquatic center.  ",, I think the principles and values of the city fathers and the chamber of commerce are totally out of sync with my core values.  They are all about appearances and money.  They spend too much money on the appearance of buildings and big signs and less on caring for the poor and keeping the streets fixed.  The city got into buying property and building houses and apartments goes against my idea of a city's responsibilities.  The use of state grants to go into the housing business is totally against the people's needs.  ,"Because my family is here and we want to be near them.  Plus, I have lived a lot of different places and this is just about my favorite place I have ever lived.  In spite of all of my issues with the way the city fathers do business, I like living here.  ",,"My next move, if any, would be to senior housing or assisted living.  I would like to rent an apartment in a senior community rather than having to buy into Mayflower.  There are some available in other communities.  ","The lawn Mafia.  When I moved here, I was greeted by two neighbors who started complaining to me about the lack of a lush green weedless lawn.  I would love to see Imagine Grinnell reward those who have more natural landscaping and less mowing.  From early spring until the first snow there is somebody mowing their lawn on my street.  The parks and lawns here require tons of energy and toxic chemicals to stay green and lush,  Let's hear it for dandelions and native plantings.  

Lack of parking in downtown Grinnell.  ","I would love to have an in town, small dog park. 
 We need more doctors, it is so difficult to have doctors leaving all the time.  But that is not something we have much control over.  
Of course we need more sit down restaurants.  
A preteen and teen center especially needed in the winter time.  ","Dog park.  
Better streets.  
More concern for poor people.  ",NA,no,"Negative: The over use of chemicals and energy maintaining grass on lawns and parks.  
The terrible smell from CAFOs and fertilizing farms.  
The poor and homeless in the community.  

Positive: The wonderful volunteer fire department
 Being able to use the college pool.  
How great the library is.
What a nice movie theater we have.  
How safe it is to live here compared to other places I have lived.  
The Harold Register.  ","I am totally frustrated that the city is so totally dedicated to building new apartments and houses.  In the downtown area the city and the college are building new apartments.  Much of this is funded by grants which amount to the tax payers funding these places.  In addition the college is building a big monstrosity of a building which the college and the city say is going to bring people together.  I doubt that will be the case.  Instead these places are going to exacerbate the existing parking problems.  Right now there is a huge problem for St. Mary's church parking due to cutting off the parking on Broad street.  The city is now subsidizing apartments on 4th Ave in downtown area.  Have you tried to find a place to park on that block lately?  Where are all these people going to park?
My other huge frustration is the fact that the city and the school board bought property and keep passing it back and forth.  And now the city is subsidizing a rich builder from Des Moines to build houses and apartments on 11th ave.  This whole thing reeks of graft and cronyism.  ",,,
1/22/23 10:02,311,"Activities on the college campus, walkable town, decent selection of restaurants","Ability to walk, use the golf course, relatively light traffic",Most days,,"I think there are a set of values, but definitely not everyone subscribes to them.  Seems that many have adopted Grinnell College values, while others are staunchly opposed to those same values.","Really haven't considered moving, but do think about what we left in the Des Moines area, Norwalk to be specific.",,"We're a pretty moderate family politically, yet in school, our boys are probably well to the left of the general population.  They're called things such as ""lib-tard"" and at last Friday's basketball game, they car, and a car of one of their friends, was egged and had chocolate sauce pour on it.  Schools have issues!!","Entry to town from the south really needs work.  Schools have issues, though I know a lot of that starts in the home.",Another nine holes on Grinnell College Golf Course.  Better clubhouse facilities.,"Improve south entrance into town.  A two mile long, 12-ft high wall with a continuous mural would be a definite improvement.",N/A,No,"I think most recognize the political divide, and resultant impacts (e.g., racially motivated campus drive thrus), but there's nothing done to change attitudes and the environment.  Seems as though we're only looking for license plate #s, etc., for punitive treatment, which will only harden the thoughts/opinions of those responsible.","I think Grinnell could be a very nice, welcoming town, but struggles with the great divide between educated/enlightened individuals with a worldview, and closeminded people who really harbor thoughts that others are here to take something away from them.

Personally know two inter-racial couples who felt the need to move their families FROM Grinnell.  This community should be one to which such families want to move TO.",,,
1/23/23 9:53,312,"The College, The Grinnell College Golf Course, The Library, Greenspace and walking Trails","The College, Grinnell College Golf Course",At the pool (that is now closed) at the Grinnell College Golf Course. It was a great place where I met a lot of friends in this community. ,,no,,,"Yes: Better Retail, More Recreations Opportunities, Better School Facilities ","The Closing of the Grinnell College Golf Course Pool, The poor water, lack of community recycling program, lack of retail (groceries and other). Lack of quality restaurants even fast food.","Farrells Extreme Body Shaping Program, Target, Aldi, More outdoor pool options other than the City Pool (like the one that was at the golf course). ","Better School Facilities, A New Pool At the GC Golf Course, Additional Shopping.",,,,,,,
1/23/23 13:34,313,The size and the low crime rate,"Parks and trails, lots of places you can go outside.","When Covid happened I felt the community took an interest in the people, like when Fareway had special hours in the morning when my grandparents could go shop.",,Sense of community,Haven't considered moving,,N/A,Lack of places to eat and we don't have fun festivals like we uses to have.,Community festivals like Happy Days like we had a long time ago. We don't have any one thing we do every year for the whole community to get involved in.,"Make the downtown more like Pella, they have so many neat places and things to do.",N/A,Recruited by Jane McFee,Problems with crime and the diversity problems that are out there.,No,,,
1/23/23 14:12,314,"The College, The Downtown, Ahrens Park",The College,Homecoming Parade,,Balance of Traditional and Progressive Values,"The College (jobs, quality of life, etc)",,"Lack of Diversity, Racism directed towards College Students, and Crumbling K12 School Buildings","Lack of Diversity, Racism directed towards College Students, and Crumbling K12 School Buildings","Better K12 School Facilities, Empty Nester/Retiree Housing",New Combined Elementary School,NA,School District Employee,"Positive: Diversity of Amenities for a Small Town Negative: Lack of Racial Diversity, Racism directed towards College Students",,,,
1/23/23 16:13,315,"I really like the diversity of people in Grinnell especially the way individuals from business, agriculture, religion, academia, and more come together.","I live on a farm between Malcom and Brooklyn.  Grinnell is my go-to for so many things.  For example, I rely on the small Brooklyn Grocery, owned by a friend, for some of my food.  Everything else in available in Grinnell.  Without Grinnelll's Hy-Vee I would have to shop in Newton.  Without McNally's I would have to drive to a Trader Joes.",I really like to attend the events in central park.  The Turlach Ur concert last summer was amazing and the Christmas lighting was magical.  The best thing is seeing all the people walking to the park or sitting in their cars on a frosty evening.,,Progress.....in always wanting to make things better.  Inclusiveness....in valuing each individual as a person and for their contribution to society.,N/A,,N/A,"I was a Walmart shopper back in the day when my family was still living at home and I needed a one-stop shop.  Now my shopping experience is frustrating at Walmart, primaily due to workforce problems.  Luckily, as a retired person I have the time and desire to shop multiple locally-owned small businesses to get what I need.","I would love to see Grinnell reach out to the small towns nearby in a way that conveyed ""WE are Grinnell.  YOU are part of our community.  Here's what we can offer you.  Here's what you can offer us.  Come on over!""",,"N/A.....been on the farm for 50 years.  Not leaving.  

Although!  Hold the phone!  I've been watching the Grinnell retirement communities grow over the years and have decided that if I require care that I can't get in my home, Grinnell will be my next stop.",I saw the article in the Grinnell Herald Register and then connected with Bel.,"I would say the Grinnell community doesn't have a complete understanding of the cultural differences between Grinnell townies and the small town/rural folks.  It's hard to articulate what I see.  

My perspective comes from my own experience. I was a Malcom/Brooklyn townie until 1970 and a farmer after that.  To ""US"", Grinnell people were a step above in every way imaginable.  ""WE"" wore blinders due to our inexperience and insecurities.  It was only in my adulthood after traveling to Europe, South America and Africa that I realized that my blinders had come off.  I no longer felt ""less than"" ""just a visitor"" ""hopeful that I wouldn't screw up"" when I was in  Grinnell.

Here's a concrete example.  The Grinnell Herald Register is an amazing publication.  We love getting it twice a week.  My husband -- the real farmer in the family -- reads it front to back. (I scan the photos and ask him what's going on around town.)  Our peers don't subscribe because they don't believe the ""Grinnell news"" has anything to do with them.

There's no one to blame.  It's just the blinders that are part of the small town/rural culture.

",Thanks for asking.  This has been thought-provoking.  Lucia Dhooge,,,
