Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?"
424,I don't actually live in Grinnell but work and shop there all the time. ,Rural laid back living.  Not the hustle and bustle of city life. ,Working at Grinnell Mutual is an honor and privilege on a daily basis. ,IDK,N/A,,,Limited things to do ,Family type outing/experience adventures. ,Family type outing/experience adventures. ,"I have no desire to live in Grinnell or any town for that matter I love my county living. 
",Friend and relative
425,n/a,great restaurants & shopping,I was born & raised in Grinnell. It was the best,n/a,n/a,,my spouse,lack of good restaurants ,once again the lack of choice of restaurants,n/a,n/a,"Yes, Lucia Dhooge"
426,Not the crime like bigger towns,Job,"None - you are bullies,  you treat renters like 2nd class citizens, business need to ask permission to put signs on their property telling the public they have jobs the list goes on and on and on...  ","whatever the college want is your core values....  Don't get me wrong the college provides jobs, but do you bend over backwards for the other business? ","We are currently care givers for our parents, after that we will most likely move.  ",,"treating renters like 2nd class citizens.... this is just a money grab
lack of places to eat
lack of things to do
treating business like crap unless you are the college

","Those in power that don't have a clue about the working people.. Who has 550,000 for a new home.... ","business, restaurants, etc ",Funds are never unlimited.... it's all tax payer money... ,,on internal website for Grinnell mutual
427,Family history and long-time friends. Short distance to get what I need and where I want to go. Walkable community; I feel safe walking anytime day/night. Quiet neighborhoods and the majority of caring and thoughtful people in the community. ,Positive educational system from K-12 to higher education. Educated neighbors and community provide the things (above) that make me proud to live in Grinnell. ,When my children were in High School and when I involved myself in community activities like parades and downtown musical events. ,"I think our core values are the same to make our community better, safe, and respectful. I feel we respect the difference we individually believe in, but we only believe in people we know. Our behavior seems to be uncharacteristic if you don't have historical knowledge or experience here. Respect is unfortunately becoming more limited or in smaller circles.",Deep family roots have kept me here and probably will keep me here in the future. ,,Employment opportunities and pay scale opportunities. ,The lack of growth not only in population but in businesses. Limited places of entertainment and food. ,Activities entertainment with food and beverages. DOG PARK inside city limits! mid-scale restaurants like the Depot.  ,Recruit a high-tech company to employ people at above-living wages. Foster or supplement small business start-ups to provide a variety of services. Foster nightlife of beautifying downtown to encourage more businesses to stay open after 5 PM and open on the weekends. ,NA - but jobs.,"I have lived in Grinnell all my life. No one recruited me to take the survey.
"
428,"The people, College, central location, golf and recreational opportunities and facilities, fabulous art and community theatre, good school system,  quality healthcare nearby, excellent senior living communities.
","The College, wonderful parks and recreational opportunities, School System, Hospital and a diversified economic base. ","Town & Gown Fund raiser, responsiveness to philanthropy events, attending community theatre programs, forward thinking City officials, response to the JPK mental consortium.","No not really! We have several economic and community development groups all with similar Mission Statements that want to improve Grinnell but fall short due a lack of coordination, leadership and volunteerism. There is a will but it has been difficult to find a way. The Chamber, GGD, ImagineGrinnell, GPIC, the City and The County as well as the College need pull together and create a common vision core values.",Moved here because we go “Grinnelled” for all the aforementioned reasons.,,Moved away for 5 years but never got Grinnell out of our blood and moved back 38 years ago and never regretted it.,The lack of support for our public schools as relates to financing Capital Improvements. Lack of individual leadership from members of the College Community not withstanding Monica and her team. There is a lot of intellectual fire power. The same is true of Grinnell Mutual.The lack of overall population growth in Grinnell. Lack of coordinated Economic Development effort that puts existing Grinnell businesses first. Lots of leakage.,"More and better restaurants. Coordinated entertainment programming. Retail shops that are locally supported. Uber and/or Lift availability, Arbor Lake is a Diamond in the Rough for not only Grinnell but the surrounding area.","More fountains in the Parks. Grinnell College needs a fountain on Central campus. Improve the south entry to Grinnell with trees , flowers. And professional landscaping. Mental Heath facility.",,"Retired Business couple that lived in Grinnell, moved away and returned to Grinnell to live and start a business 38 years ago."
429,"Great people, nonprofits, and businesses who care about the quality of life in Grinnell","Education, access to quality health care, the excellent teachers and schools that educated my children, the location where I live","Several times during my teaching career, I hosted a state-level contest at Grinnell High School. This contest took many volunteers from the community and cooperation between the school, community and Grinnell College. ","I do. Our core values consist of education, being good neighbors, making our community better","Love the location of my home, my church, and community",,I do plan to leave Grinnell to move closer to my daughter and her family. ,"Inability to pass a bond issue to provide a quality building for our excellent teachers and staff. The attitude that ""I went to that (insert name here) school and it was good enough for me, so it's good enough for kids today. So misguided and uninformed.","Key faculty and staff from Grinnell College (and other businesses, etc) who live in the community. When I moved here, the leaders at Grinnell College, most of the faculty and staff lived in Grinnell and their kids attended public school. We are missing those strong public school advocates who are champions for our schools and kids. ","New public school buildings - similar to the beautiful new buildings on the college campus. Funders who would step in and assist our school budgets when the state legislature only gives schools 2.5% allowable growth. 

We also need intentional community dialog in neighborhoods, workplaces, schools. ",,Melissa Strovers inspired me to take this survey. 
430,,,,,,,"Lack of restaurants, lack of good paying jobs","Lack of restaurants, lack of jobs, lack of fun events","More restaurants, fast food restaurants, more attractions ","More restaurants, fast food restaurants, road improvements ",,Catharine Found
431,Seeing lots of friends and acquaintances often. The ability to have a positive impact on our society in several ways. ,"Great small business owners that are easy to access, the generally liberal attitude of the community, my church community.",When I was part of a group of 50 or so people on a search group to find the missing college student. ,"Yes--helpful to others, inclusiveness.",Our daughter and son-in-law got married and settled in Grinnell when family dentistry was determined NOT to let a great young man go elsewhere. We had plans to follow them otherwise. ,,None other than our kids possibly moving.,None that I didn't feel I couldn't help with resolve.,Fun activities for kids of all ages outside of school related activities. ,"A place for kids to hang out, play conventional interactive and electronic/video games, etc.",I do,"American Brawn, umm...you know what I'm about, right? :-)"
432,Sense of community and support for each other,Parks and Grinnell College,High school alumni weekends ,Unsure,Smaller school system ,,"Yes, availability of newer reasonable priced homes and more retail options ",Home prices and lack of reasonable contractors and lack of eating establishments ,More retail to give residents options on shopping and eating ,"I would bring in name brand retail chains, food franchises, and construct more recreational trails and athletic training facilities for youth.",,Katelyn VanCompernolle
433,"Past activities such as Music in the Park, Happy Days, Crazy Days, Friday events. Love the look of downtown.",Community support,"Years ago organizations would come together to support events and non profits were invited, welcomed and encouraged to participate and help.","While the college is a big support to things, they seem to run things now and ""their"" very liberal values are what are presented.  If it's not what the ""college"" believes it doesn't seem to matter even though the college seems to want to say they support inclusive they are only inclusive to those that support what they say and do.","I did move, but stayed working at my job there until recently. I am still connected to Grinnell and still support the community.  I frequent the restaurants (that are still there), I shop all the stores, still belong to a church there, donate to community causes and promote and attend community activities besides those at my church.",,"The college's strong influence, which wouldn't be bad if they were inclusive. ","That some of the businesses seem to want to ""corner the market"" on there products.  Competition is good.  ",More places to eat.  ,Bring back family fun events and things for families to do.,More inclusive,"I first saw the survey on fb ""hey Grinnell did you know page"",  then I heard about on KGRN radio."
434,Small community and pleasant neighborhoods,Dining out,Working at one of the nursing homes,Yes. Not sure,Farming ,,No,Lack of nice restaurants ,More activities year round,More restaurants ,Na,Yes Lucia Dhooge 
435,"Grinnell is a nice community and the people are willing are to help other people in Grinnell. 
 We also like some of the amenities we have including:  Dari Barn, Pool, and good restaurants.",The nice community and the activities we offer. ,When someone from the local airport broke the record for longest distance in flight (many years ago).  When our class organized a food drive and the community supported us by allowing donation boxes to be set up in their organization. ,,Our friends and restaurants keep us here in Grinnell. We also have very nice playgrounds. ,,"No Target, Chick-a-Filet or Starbucks which are all needed here in Grinnell and are found in other big cities. Also, more interactive activities for kids like lazer tag, bouncy house, trampoline parks, ect. ",,"Target, Chick-a-Filet or Starbucks and possibly a kids museum. ",All of the items previously listed. Adding more stores and activities to our community.  It would also be helpful in Grinnell could build a housing shelter for those struggling financially. ,,Dr. Janet Stutz - This survey was completed by a group of 6 3rd and 4th grade students. 
436,"People who are helpful and nice, it's safe, the aquatic center is nice, Dairy barn,  good schools",The people and schools ,"Doing a food drive to help the community in Davis (going on the radio), when schools helped me","Yes- kindness, honesty, helpfulness, loyalty ",We have friends in Grinnell,,Weather,"Relatives are far away, the skate park hasn't been expanded yet, ice rank was not opened","Trampoline park, Target, Chick-fil-a, kid's shooting range, Trader Joe's, TJMax, Starbucks, a mall, other fast food places, music school, another Walmart, bigger airport","More restaurants (KFC, Chick-fil-a), a bigger movie theater, bigger waterpark and pools, a home for everyone, Super Target.",N/A,Dr. Janet Stutz--this survey was completed of 7 third and fourth graders
437,"Small, progressive community ","School pride, good jobs",I enjoy seeing familiar faces either walking around or shopping/dining in Grinnell,That Grinnell has Midwest conservatism balanced with progressive ideas,Children call Grinnell home,,Job opportunities ,Limited recreational choices,A unique outdoor dining venue. ,Make improvements to the downtown so it is more inviting ,N/A,Catherine Found
438,"so many, so generous and friendly people. The college, especially the pool","the people. college events, pool. lots of walking trails. the local newspaper, City pool in summer. 3 grocery stores, plus walmart. wonderful library. ","Music in the park - all ages, just enjoying themselves yet lookinh out of anyone needed assistance, ","that it ""takes a village"". We just need to do what we can. ",n/a,,n/a,not having recycling picked up. not having grass/branch/brush pickups. Not having either 'yield' or 'stop' signs at some intersections - think very unsafe,adding some kind of signage to all intersections, add and improve sidewalks. Subsidize the city pool for more families.,n/a,Tang . Just my husband and I (late 70's)
439,"culture, college, . MEDICAL. VISITING DRS, SCHOOLS, GROC STORES, RESTAURANTS.","CHURCH,NEDICAL, PEOPLE, PEACE",, CHURCH,,,Taxes,"friction between city and college     ,,,taxes",more culture       more medical specialists retail,"cheaper housing,   lower taxes",,Brita Meints
440,Ease of getting anywhere in town; parks and walkability; sense of community; good city government; Drake Library; Grinnell College; GRINNELL HERALD-REGISTER (an independent local newspaper is very important).,"All of the above, plus convenient and good quality medical care (which I'm afraid is becoming precarious).","Our community's united and caring response to Covid and to the derecho was amazing. Also the cooperation when RAGBRAI passes through. I like it when we all pull together, friends and strangers alike.","I'm not sure the town itself has a set of core values, beyond what most people have just from being part of our culture.","I've thought of moving closer to children and grandchildren, but we have 50 years of roots in Grinnell and value the community and our friends.",,Family attracts me elsewhere. It's not that Grinnell is repelling me.,"The endemic bigotry - not most people, I know, but the undercurrent of meanness to minorities has been here since we arrived with young children. Kids hear slurs in school; pickup trucks drive around advertising hate with stickers/flags; incidents break into the news. Grinnell reflects our greater society, I know, but I don't like it and I wish we could address it in some way that works.","Things that are probably impractical and not going to happen in a small community: like a Target store, a wider variety of restaurants (varied ethnic), clothing stores. I'd love to see a restaurant operating again in the Depot Crossing - it's such a unique and charming space to waste.","I would make Grinnell a place where no one is in want: everyone has a decent place to live, food and all necessities, affordable access to education and health care (including mental health care), transportation, a job that pays a living wage, and respect regardless of means, education, religion, race, gender, gender identity . .. .

I would also love to see Grinnell entirely powered by renewable energy, namely wind and sun.",,Grinnell Unitarian group
441,"small community, church choices","peaceful living area, Wal Mart, Pizza Ranch",,,"We left our acreage and moved into Grinnell in 2018. For convenient grocery stores, church",,"higher property taxes
","eating places closing and not being replaced, road conditions, unhappy with post office delivering wrong mail","more eating places, miniature golf   ",more affordable apartments ,more eating places,Catharine Found
442,"Population (size), quietness, location, most commodities are readily available, Historical district","Local businesses and options, Historical landmarks, landscaping",Memorial Day celebration in Central Park,"Community, Pride, Commitment, Support Local, Engaged citizens",Our church and places of employment are here,,"Distance from extended family, adult children, cost of gasoline","Price of gasoline, hours of operation at some restaurants, the landfill and lack of fast food options","More drive thru meal options, a location for free indoor activities for the family","Cheaper gasoline, restaurants open on Mondays, add a drive-thru burger option, a fish-stocked lake, more open hours of operation for the pool and rec center, pizza delivery options other than Pizza Ranch, bring back a Goodwill or similar option, bring back a steakhouse, an indoor sporting and activity option (arcade and table games).",n/a,no
443,"I perceive Grinnell to be safe (I understand this is relative), and I value safety greatly.
Diversity. Again, this is relative, but, largely due to Grinnell College’s presence, we enjoy diversity that is unusual for a community of this size.
There are many family-friendly opportunities and opportunities for established and older adults.
Having the hospital right here within the city is a huge strength. Family practice options seem adequate, as well, especially when combined with the access to visiting specialists through Unity Point.
I appreciate knowing so many people in the city and making connections with more and more people through those I already know.
The friendly businesses, especially restaurants, are very important to me.
","Health care access (as mentioned in #1) is huge for me.
Having St. Mary’s Catholic Church right in town is so important to us.
Businesses (especially restaurants and grocery stores), the services provided by the city, and free-and-open-to-the-public events sponsored by Grinnell College and various community organizations make a big impact.
The variety of options for living environments (including long-term care) as we age and what I perceive to be a vibrant post-retirement community are appealing. I feel safe and comfortable, looking ahead to that stage of my life in Grinnell.
The GARC was a precious resource as we raised our son, and we treasure the multiple parks in town and the bike trail.","This is not very specific, but we felt particularly connected to Grinnell during the years that we were raising our son. We took advantage of so many different resources and opportunities that the community offers. As empty nesters, our connections are different and a bit narrower, but we still feel a very strong connection to our community. One of our greatest simple pleasures is driving through all the neighborhoods and observing life being lived and chatting about our memories and experiences of this house or that street or this store or that family.","There are obviously exceptions, but my current perception is that Grinnell overall values family, kindness, safety, and acceptance.","We only briefly considered moving from Grinnell once, twenty-some years ago, and it would have been for my husband’s employment opportunity. We were not willing to give up all that Grinnell offered, and my husband turned down that job offer.",,We have had no thought of leaving Grinnell since that job offer my husband had elsewhere twenty-some years ago.,"At times, and in certain domains of our community’s life, it has felt as though Grinnell College has had too much influence, pushing an agenda that may not accurately represent the values of many living in the community. However, I am simultaneously aware of the incredibly positive force that Grinnell College is in our community and the countless ways we all benefit from the institution’s presence and generosity.
The repeated failures to pass a bond issue mean that students and educators are attempting to function in school facilities that do not adequately meet our safety or education needs. It is my perception that our schools no longer enjoy the kind of reputation that attracts individuals who are seeking employment in education. 
As a person who is truly terrified of dogs, it frustrates me that people do not obey the leash ordinance in town. On a given day, my husband and I typically encounter at least one or two loose dogs on our walk; he runs interference for me, but it leaves me feeling unsafe to go for a walk when he is not available.","It seems that Grinnell lacks social opportunities for the teenage and young adult populations which, in my perception, leads to many young people leaving the area after high school to settle in places that cater to their social needs. It is high praise for Grinnell that a good number of these people return to Grinnell when it is time to raise a family - they recognize how much the community has to offer young families. ","I would want to see more restaurants, both in town and perhaps some recognized franchise restaurants close to the Interstate, as well as serious improvements to the water system. It would be amazing to have more of our streets in good condition, especially within neighborhoods. The bike trail is quite nice, but we must pedal through bone-jarringly rough roads in order to access the trail.
Pouring additional funding into the schools could help the Grinnell-Newburg school district again become a selling point for families considering moving to or staying in Grinnell. The physical facilities are an obvious need, but, even beyond that, having to meet more and more mandates with less and less government funding (not even keeping up with the rate of inflation) has had a negative impact on our district.",,"I am writing this as an individual. I am teacher (37 years in the G-N school district), and my husband and I raised our son in Grinnell."
444,"I have a great job and great colleagues. I like living in a small town -- I can walk to work, I was able to buy a house with a yard and garden. I have access to local foods. I like the upper midwest. The public library is really good relative to the size of the town.","Job, colleagues, walking to work, owning a house.","PowDems picnic -- hanging out together, eating brats, fomenting revolution. Or hanging out with friends at Solera, knowing almost everyone who walked in.","I think there are several sets of core values held by different groups, and there's not necessarily a lot of overlap. (I'm thinking about school board and school bond elections.)",,,,"Few restaurant options, limited access to live music, limited access to specialized medical care or even basic mental health care, lack of bike racks downtown. (Also, 6am flights out of DSM, but that's hardly Grinnell's fault.)","Bike racks is the big one. I mean, I would love it if we had an Indian or Thai restaurant in town, but I can cook -- or eat out when I'm in DSM or Iowa City.",Bike racks... Big grant to the new music school... Lure some new restaurants to town... ,,profession: Grinnell staff
445,The friendly and loving people. Along with the environment. ,The welcoming people. ,Any big community event.,"I do not think we have a set of values, some times we are more divided.",,,,The lack of more popular branding.,Big brands and chains. ,Adding bigger and better chains of all types .,,"Ireland Sebetka
"
446,"I chose to move here back in 2007 when I retired! I had lived here a couple years to help my brother. I like the size of Grinnell. It has friendly residents and also the college. The college pool, I am dedicated to for my health. I have some famiily here also. ",Definetly the college pool ,,,"I chose Grinnell before I retired! Like I had said, I had lived here before. I like the size, the friendly people and the college pool. ",,No ,HANDICAP PARKING!! I fell in february 2022. I am 81 years of age. that's when I noticed the meager handicap spaces. I write tot he Mayor and city coucil members.,"Handicap parking!! More in town for shopping. Move the one at the corner of Broad + 5th to be closer to the ramp at the Post Office. I was told there is not enough $ to take out the curb and re-do cement by the ramp to the Post office. Need more and closer to library doors, by McNally's and HyVee. ",see #8,,Joan Ohnemus 
447,public schools and college,"at my age, doctors and other medical services",fund raising for Second Mile addition,"I did think so at one time, but some of what I believed were core (valuing diversity) seem more challenged today.",able to find new employment,,employment changes,"Some of the issues I have noted with resistance to diversity may be similar to what I felt growing up in a very small Iowa town.  I left the state after college graduation (volunteer job in Atlanta) because I felt my perspective was too narrow.  I think some folks who talk about ""Iowa nice"" need to leave the state and truly experience acceptance of diversity.",I do miss the greater number of options we had for eating out beyond fast food.,fully support public schools including bond issue for new elementary/middle school,NA,various including church and school
448,Green vs. concrete.  The people.  The College.  Mayflower,Same as above,"I can't remember the exact circumstances, maybe after 9/11 when Muslims were at risk in America.  There was an event in Central Park led by a Muslim (Kamal) and the college Rabbi to address community concern about the situation.  I was proud to live in a place where that sort of thing happened.",Different groups have different values,Have not considered seriously,,"Haven't considered leaving, but the physical and verbal attacks on certain groups of people are revolting.","Obviously, small towns have fewer resources of all sorts than do big cities.  For example, I have to make a road trip to get our ""imported"" car serviced by a dealer.  I'm not very frustrated.",A Honda or VW dealer.  More restaurant diversity.  A store with the sort of stuff that Dave used to carry at the Music Shop. Nicer winters.,Make it a more attractive place for doctors and nurses to work.,,No
449,Beautiful downtown-friendly,Central park,Central Park ,,,,,Junkie -trashy houses and properties. I think the city and county should enforce keeping properties presentable ,,,,No
450,Community that feels like family and the support of small businesses! ,Community and support,"Growing up and still now because of the small town family feel, and all the activities put on throughout the year to bring the community together! ","Support, Encourage, Reliable, Sustaining, Honest, and Humble. (Fruit of the Spirit)",,,"Cost of things seem to be as much as the big cities at times, more diversity, and also conservative options.","Hard water, cost of some things, the increased liberal view instead of staying in the middle. How do we work well with he college and grow in great ways with them without becoming more liberal? ","Better water, more creative community events or options, and more intentional team work throughout the whole community (schools, college, businesses, and more).","Hard water fixed, community indoor facility for all ages that is safe to enjoy entertainment inside during weathering conditions, make sure all maintenance of downtown buildings and more are you to date! More longevity with small businesses! (Miss some of the business that haven't made it)","Hard water fixed, cost of living (taxes, etc), community indoor facility for all ages that is safe to enjoy entertainment inside during weathering conditions, make sure all maintenance of downtown buildings and more are you to date! More longevity with small businesses! (Miss some of the business that haven't made it)","Grew up in Grinnell, visit my mom throughout the year there, and plan on moving back soon! "
451,"not crowded, not loud & busy","the natural beauty and charm of the downtown and various streets, nearby prairie","I don't feel ""proud"" to live in Grinnell but appreciate it in many ways","Not really, I think different people have different sets of priorities and values that are unrelated to where they live or that that they live here specifically.",n/a,,"feeling kind of isolated sometimes due to the small town but not really, stable job.","Lack of variety of shops and food at times, even though there are quite a few nice spots, especially compared to years ago -- don't like shopping at WalMart","Indoor winter activities like ice skating and roller rink would be HUGE I think for both families with kids/teens and possibly even some adults -- also a solid ""chain"" restaraunt that wouldn't close down in a year that would appeal to a cross section of town/gown people -- like Panera, or Olive Garden. Let's be realistic! Yes, I'd love Indian or Ethiopian food but really at this point I would take a Panera. Also eating out that is truly healthier (not subway)","A Target instead of a walmart, a larger health food store with a deli (like Pioneer Co-Op or Whole Foods)  - also, I am a die-hard St Rest fan but in fantasy land, I would love another coffee shop / maybe tea shop - would still go to St Rest, but just ""more options within the same category"", in general, is what I miss about larger cities. Not sure it's feasible here tho",n/a,no
452,,,,,,,"We moved to Des Moines to have easier access to a more diverse range of cultural events and venues, greater demographic diversity, closer to airport.",Close networks of friendship seemed to be through church affairs; a small but very divided town socially between campus “elite” and townspeople,A regular at least work day bus transportation between Des Moines and Grinnell - express wd be nonstop and regular wd stop in 2-3 places on route (e.g. Altoona; Newton….),"More Spring-Summer musical, art, theater activities in the town park ",Intercity transportation,Montgomery Roper
453,Low crime & friendliness,,,,,,"Lack of health care, lack of transportation options, few dining options","Extremely difficult to find a physician and inability to travel outside of Grinnell without a car means you can't access services or thru-transit options such as train, bus, air.
",Health care and transit,"Incentives for health care providers to relocate here, transportation options, businesses etc.",,
454,I don't live in Grinnell - I used to,"proximity to the College, lack of traffic, some of the bars",I enjoyed the friendliness of many of the residents I encountered through doing local business,No - there are several competing values,Yes - decided to leave,,"lack of diverse dining options with good service, local racism and xenophobia (including against those from other parts of the US)","The lack of anonymity, the resistance to innovation and diversification of the business community",Public transporation connecting Grinnell to Des Moines and Iowa City,"Have a passenger train line that stopped in Grinnell and connected DSM, Iowa City, Quad Cities, and Chicago","public transportation, better dining ",
455,"Safe surroundings, centrally located between family members, church group, easy town to get around",Outdoor trails,"Our kids grew up here; we were connected to 3 schools, church, library, scouts, sports, etc. We were connected all around and proud to support Grinnell.","I've never heard of a set of core values here. As parents our group talked about values, but I feel less connected to the town now that our kids are grown and gone.",Still working. Centrally located between our grown kids.,,We're ready for warmer weather some of the year.,"It's hard to shop in town. By the time we get off work, stores are closed and many not open on weekends. No place to eat on a Monday!","Hubby and I like to do different things, so groups that include married people would be nice. I'm not widowed, divorced, or single so I don't fit anywhere as an individual.","Keep stores open downtown so we could support our friends. More bike trails, especially the ones going south of town.",n/a,"college employee, "
456,I like living in small towns. Easy to get around and access community resources. Lots of activities (stemming from the community and the College) for school-aged kids to do and it is safe enough for our kids to get to things on their own. ,I guess relates to the above. The fact that I can ride my bike everyone in a short period of time. Easy to get into the dentist or eye doctor or get dinner at a restuarant. Our kids walk around town on their own to play or attend events. ,"I enjoy going to things like Music in the Park. Fun, easy, relaxed event where I can bump into people I know. I also think our local schools do a lot of good work and enjoy attending events ans seeing people there. ","Maybe. I feel like even though Grinnell as a whole and the College community get along well enough, I am not sure there is a core set of values that captures both. I single out the College because it is a major constituency. Generally, I think the people who live here must enjoy/appreciate (or tolerate?) a slower, simpler way of life. ",Not considering it.,,"I guess only that I have lived in mid-sized cities before (Des Moines, Madison, WI) and the larger set of amenities is nice. I could see living in a smaller urban environment that was friendly to biking and walking. ",Relatively small variety of restaurants. Town is not hard to get around on a bike but not what I'd call biking friendly. Some key streets don't have sidewalks. At times not very forward-looking (like failed school bond issue). ,A couple restaurants with good ethnic food. A built to purpose futsal court or two at Ahrens. Some biking lanes and marked intersections in highly trafficked areas. A newer public school. ,"A commuter rail line along I-80 to train to Des Moines and Iowa City. Some one way streets down town and repurposing of some of the parking spots to make more pedestrian/bike friendly areas with outdoor spaces. An artificial turf soccer complex at Ahrens with lights. Some sort of biggish summer festival that attracts a lot of outside visitors. More housing, especially nice apartments complexes. ",NA,I am a member of the Grinnell College community (professor). Responding to broad request from Monty Roper to complete the survey. 
457,"Low cost of living. Easy commute to work, and easy walk to downtown and other amenities like parks. Wonderful college and opportunities for education and entertainment through the college. Childcare (when we needed it was easy to find and inexpensive). Wonderful friends and people. ","Being around good, kind people who have a genuine interest in community. ","To be honest, I've always felt particularly proud to be a Grinnellian/Iowan during caucus season. It just seemed to draw out the best in people. ","Generally speaking, I think Grinnellians value kindness. ","In a lot of ways, it's easier to live here than anywhere else I've ever lived. ",,In the winter there is always a moment when I wonder why I'm still here. ,"When my kids were in the community schools, it was frustrating that they were sometimes the only BIPOC children in their classes. I don't believe the administration took bullying very seriously. When my son was in mental health distress there was an impulse to call the police and, at the time, they were ill-equipped to deal with mental health problems (it's much much better now). On a more surface level, it's a bummer that we don't have more and better restaurants in town. ","Oh, as indicated in the prior question, would love more restaurants of varying types (Thai, Vietnamese, Indian, etc). ","I think it would be great to beautify the 146 from the 80 to downtown Grinnell. It's just not a very attractive stretch of road. It would be awesome to have more and better resources for folks with limited means (more help for homeless, or near-homeless folks). I also think it would be great to have more resources and activities for our children beyond sports (not everyone is an athlete). A community center for kids did exist when we moved here, but my kids never had a chance to enjoy it. ",N/A.,No. 
458,"Short driving distances, having a successful college, having a hospital, good people",Stable employment,"The College brings people from all over the world, and that makes me proud","I think Grinnell relies on the same core values that all small towns have to: supporting local business, for example. I can't think of anything truly unique to Grinnell in terms of values. (That's not a bad thing.)",I work in Grinnell and appreciate having a short commute.,,I did leave Grinnell for a job and for graduate school. There was no opportunity for professional promotion or to earn an advanced degree in Grinnell.,"Limited grocery options (Hy-Vee is very low quality compared to its other locations), lack of diversity, bad road surface conditions, old public school facilities, lack of dining options","More dining options (particularly of a diverse nature), better quality roads, a better Hy-Vee, a dog park in town","I'd have a dog park built, a better Hy-Vee brought to town, and more restaurants brought in",,I work at Grinnell College.
459,Safe small community,Walkable downtown,Has not happened yet,No,Close to my work place,,"Limited job opportunities for spouse, limited houses and condos that are new, lack of diversity","Limited job opportunities for spouse, limited houses and condos that are new, lack of diversity","Diversity, new houses and condos",Create more jobs esp those that are attractive for people with diverse backgrounds,NA,Monty Roper
460,Mostly the kindness of my colleagues and friends,The sense of community from colleagues and friends,"During the height of the pandemic, and my colleagues and friends were helpful.",I am not sure.,Job,,"Lack of diversity, rural setting, no public transportation to Des Moines or Iowa City, isolation, lack of amenities such as restaurants and stores, difficulty of getting service to work on your home and others, conservatism, not a good place for people of color","Lack of diversity, rural setting, no public transportation to Des Moines or Iowa City, isolation, lack of amenities such as restaurants and stores, difficulty of getting service to work on your home and others, conservatism, not a good place for people of color","public transportation to the cities and around, restaurants and stores, a public life","public transportation to the cities and around, restaurants and stores, a public life",N/A,Monty Roper
461,"lack of traffic, community resources such as the pool and library, paired with college resources such as the gym.",Ease of meeting up with people because we all live so close; lack of commute,Seeing a community organization that I co-founded doing what it does at its best.,"no, because people on either side of the college/town divide--real or perceived divide--fear the other side, not knowing them well enough to consider whether there has to be a perceived divide.","friends, space, house prices elsewhere, commute",,lack of racial diversity; political environment often feeling intolerant of differences; schools not supporting high-achieving children as well as they might; intolerance in schools.,"lack of racial diversity; political environment often feeling intolerant of differences; schools not supporting high-achieving children as well as they might; intolerance in schools. Also, the lack of diversity of retail.","Aldi, a drugstore (like CVS or walgreens) in town, a town orchestra, a tween hangout space, a coffee shop open in the evening, a larger stage (larger than in the GAAC), and TRAIN connection to cities.","Trains to IC/DM/Chicago; commercial flights to the airport that are also affordable; more diverse food options as restaurants and, for example Asian supermarkets--these require city support initially, as they may not be profitable at first.",n/a,
462,"Central park, the small businesses, the variety of things we have to do",How connected the community can be with each other,When the derecho went through everyone bonded together to help each other,Engagement and getting people involved in things,I have never considered moving,,I have never considered leaving Grinnell,"Occasionally the stop lights, but besides that nothing really",I think more recreational areas open to kids/teenagers such as a YMCA where they would be able to hangout during super hot/cold weather spells,"Similarly as said before, more recreational areas as well as more gyms that can be accesible for people who struggle ",N/A,Lexi Spooner
463,"I like the people in the community, it comes with a friendly family atmosphere. I also like how its a perfect sized town, not to big not to small. I like the events that are hosted throughout the summer such as music in the park and the farmers market. ",The businesses that provide help to school activities and sponsor things in order to help.,When everyone gets together for the homecoming parade and pep rally. Everyone has a good time. ,I think our core values are being extremely accepting to new people who come into the community. ,I have never thought about moving from Grinnell. I like living here.,,I have never considered leaving Grinnell,"There isn't much to do for activities. It would be nice to have some sort of recreational place where things can go on. There could be more diversified restaurants rather than all fast food joints, and only a couple of nice sit-down restaurants. ",As previously said having more things to do. ,Add a YMCA for younger kids to hangout at or even teenagers and adults. ,I live outside of Grinnell and the only thing that would make me move to Grinnell would be to be closer to accessing stores.,Lexi Spooner
464,The Walmart and tight knit community ,The great school district and community support,When at all the basket ball games,Family and courage,Affordable housing and great school,,No,Traffic,More parks for the public and more community events ,Make the fairgrounds bigger to increase the fair to do list,N/A,Lexi spooner 
465,"It’s a peaceful community, really good school district.",Great events throughout the year,,Everyone is very helpful and welcoming ,Smaller community that is more connected then other bigger college towns,,No,How the roads are taken care of during the winter,Activities to do outside of community events,,,Lexi Spooner
